[SYS] 2024/10/24 - 05:39:09 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:39:36 | batch update finished 
[SYS] 2024/10/24 - 05:39:46 | batch update started 
[SYS] 2024/10/24 - 05:39:46 | batch update finished 
[SYS] 2024/10/24 - 05:39:56 | batch update started 
[SYS] 2024/10/24 - 05:39:56 | batch update finished 
[SYS] 2024/10/24 - 05:40:06 | batch update started 
[SYS] 2024/10/24 - 05:40:06 | batch update finished 
[SYS] 2024/10/24 - 05:40:16 | batch update started 
[SYS] 2024/10/24 - 05:40:16 | batch update finished 
[SYS] 2024/10/24 - 05:40:26 | batch update started 
[SYS] 2024/10/24 - 05:40:26 | batch update finished 
[SYS] 2024/10/24 - 05:40:36 | batch update started 
[SYS] 2024/10/24 - 05:40:36 | batch update finished 
[SYS] 2024/10/24 - 05:40:46 | batch update started 
[SYS] 2024/10/24 - 05:40:46 | batch update finished 
[SYS] 2024/10/24 - 05:40:56 | batch update started 
[SYS] 2024/10/24 - 05:40:56 | batch update finished 
[SYS] 2024/10/24 - 05:41:06 | batch update started 
[SYS] 2024/10/24 - 05:41:06 | batch update finished 
[SYS] 2024/10/24 - 05:41:16 | batch update started 
[SYS] 2024/10/24 - 05:41:16 | batch update finished 
[SYS] 2024/10/24 - 05:41:26 | batch update started 
[SYS] 2024/10/24 - 05:41:26 | batch update finished 
[SYS] 2024/10/24 - 05:41:36 | batch update started 
[SYS] 2024/10/24 - 05:41:36 | batch update finished 
[SYS] 2024/10/24 - 05:41:46 | batch update started 
[SYS] 2024/10/24 - 05:41:46 | batch update finished 
[SYS] 2024/10/24 - 05:41:56 | batch update started 
[SYS] 2024/10/24 - 05:41:56 | batch update finished 
[SYS] 2024/10/24 - 05:42:06 | batch update started 
[SYS] 2024/10/24 - 05:42:06 | batch update finished 
[SYS] 2024/10/24 - 05:42:16 | batch update started 
[SYS] 2024/10/24 - 05:42:16 | batch update finished 
[SYS] 2024/10/24 - 05:42:26 | batch update started 
[SYS] 2024/10/24 - 05:42:26 | batch update finished 
[SYS] 2024/10/24 - 05:42:36 | batch update started 
[SYS] 2024/10/24 - 05:42:36 | batch update finished 
[SYS] 2024/10/24 - 05:42:46 | batch update started 
[SYS] 2024/10/24 - 05:42:46 | batch update finished 
[SYS] 2024/10/24 - 05:42:56 | batch update started 
[SYS] 2024/10/24 - 05:42:56 | batch update finished 
[SYS] 2024/10/24 - 05:43:06 | batch update started 
[SYS] 2024/10/24 - 05:43:06 | batch update finished 
[SYS] 2024/10/24 - 05:43:16 | batch update started 
[SYS] 2024/10/24 - 05:43:16 | batch update finished 
[SYS] 2024/10/24 - 05:43:26 | batch update started 
[SYS] 2024/10/24 - 05:43:26 | batch update finished 
[SYS] 2024/10/24 - 05:43:36 | batch update started 
[SYS] 2024/10/24 - 05:43:36 | batch update finished 
[SYS] 2024/10/24 - 05:43:46 | batch update started 
[SYS] 2024/10/24 - 05:43:46 | batch update finished 
[SYS] 2024/10/24 - 05:43:56 | batch update started 
[SYS] 2024/10/24 - 05:43:56 | batch update finished 
[SYS] 2024/10/24 - 05:44:06 | batch update started 
[SYS] 2024/10/24 - 05:44:06 | batch update finished 
[SYS] 2024/10/24 - 05:44:16 | batch update started 
[SYS] 2024/10/24 - 05:44:16 | batch update finished 
[SYS] 2024/10/24 - 05:44:26 | batch update started 
[SYS] 2024/10/24 - 05:44:26 | batch update finished 
[SYS] 2024/10/24 - 05:44:36 | batch update started 
[SYS] 2024/10/24 - 05:44:36 | batch update finished 
[SYS] 2024/10/24 - 05:44:46 | batch update started 
[SYS] 2024/10/24 - 05:44:46 | batch update finished 
[SYS] 2024/10/24 - 05:44:56 | batch update started 
[SYS] 2024/10/24 - 05:44:56 | batch update finished 
[SYS] 2024/10/24 - 05:45:06 | batch update started 
[SYS] 2024/10/24 - 05:45:06 | batch update finished 
[SYS] 2024/10/24 - 05:45:16 | batch update started 
[SYS] 2024/10/24 - 05:45:16 | batch update finished 
[SYS] 2024/10/24 - 05:45:26 | batch update started 
[SYS] 2024/10/24 - 05:45:26 | batch update finished 
[SYS] 2024/10/24 - 05:45:36 | batch update started 
[SYS] 2024/10/24 - 05:45:36 | batch update finished 
[SYS] 2024/10/24 - 05:45:46 | batch update started 
[SYS] 2024/10/24 - 05:45:46 | batch update finished 
[SYS] 2024/10/24 - 05:45:56 | batch update started 
[SYS] 2024/10/24 - 05:45:56 | batch update finished 
[SYS] 2024/10/24 - 05:46:06 | batch update started 
[SYS] 2024/10/24 - 05:46:06 | batch update finished 
[SYS] 2024/10/24 - 05:46:16 | batch update started 
[SYS] 2024/10/24 - 05:46:16 | batch update finished 
[SYS] 2024/10/24 - 05:46:26 | batch update started 
[SYS] 2024/10/24 - 05:46:26 | batch update finished 
[SYS] 2024/10/24 - 05:46:36 | batch update started 
[SYS] 2024/10/24 - 05:46:36 | batch update finished 
[SYS] 2024/10/24 - 05:46:46 | batch update started 
[SYS] 2024/10/24 - 05:46:46 | batch update finished 
[SYS] 2024/10/24 - 05:46:56 | batch update started 
[SYS] 2024/10/24 - 05:46:56 | batch update finished 
[SYS] 2024/10/24 - 05:47:06 | batch update started 
[SYS] 2024/10/24 - 05:47:06 | batch update finished 
[SYS] 2024/10/24 - 05:47:16 | batch update started 
[SYS] 2024/10/24 - 05:47:16 | batch update finished 
[SYS] 2024/10/24 - 05:47:26 | batch update started 
[SYS] 2024/10/24 - 05:47:26 | batch update finished 
[SYS] 2024/10/24 - 05:47:36 | batch update started 
[SYS] 2024/10/24 - 05:47:36 | batch update finished 
[SYS] 2024/10/24 - 05:48:12 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:48:12 | using MySQL as database 
[FATAL] 2024/10/24 - 05:48:12 | [dial tcp 172.18.0.3:3306: connect: connection refused] 
[SYS] 2024/10/24 - 05:48:12 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:48:12 | using MySQL as database 
[FATAL] 2024/10/24 - 05:48:12 | [dial tcp 172.18.0.3:3306: connect: connection refused] 
[SYS] 2024/10/24 - 05:48:13 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:48:13 | using MySQL as database 
[FATAL] 2024/10/24 - 05:48:13 | [dial tcp 172.18.0.3:3306: connect: connection refused] 
[SYS] 2024/10/24 - 05:48:14 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:48:14 | using MySQL as database 
[FATAL] 2024/10/24 - 05:48:14 | [dial tcp 172.18.0.3:3306: connect: connection refused] 
[SYS] 2024/10/24 - 05:48:15 | One API v0.6.7 started 
[SYS] 2024/10/24 - 05:48:15 | using MySQL as database 
[SYS] 2024/10/24 - 05:48:15 | database migration started 
[SYS] 2024/10/24 - 05:48:15 | database migrated 
[SYS] 2024/10/24 - 05:48:15 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/24 - 05:48:15 | using theme default 
[SYS] 2024/10/24 - 05:48:15 | memory cache enabled 
[SYS] 2024/10/24 - 05:48:15 | sync frequency: 600 seconds 
[SYS] 2024/10/24 - 05:48:15 | channels synced from database 
[SYS] 2024/10/24 - 05:48:15 | batch update enabled with interval 10s 
[SYS] 2024/10/24 - 05:48:15 | initializing token encoders 
[SYS] 2024/10/24 - 05:48:25 | batch update started 
[SYS] 2024/10/24 - 05:48:25 | batch update finished 
[SYS] 2024/10/24 - 05:48:34 | token encoders initialized 
[SYS] 2024/10/24 - 05:48:34 | server started on http://localhost:3000 
[SYS] 2024/10/24 - 05:48:35 | batch update started 
[SYS] 2024/10/24 - 05:48:35 | batch update finished 
[SYS] 2024/10/24 - 05:48:45 | batch update started 
[SYS] 2024/10/24 - 05:48:45 | batch update finished 
[SYS] 2024/10/24 - 05:48:55 | batch update started 
[SYS] 2024/10/24 - 05:48:55 | batch update finished 
[SYS] 2024/10/24 - 05:49:05 | batch update started 
[SYS] 2024/10/24 - 05:49:05 | batch update finished 
[SYS] 2024/10/24 - 05:49:13 | model ratio not found: glm-4-plus 
[INFO] 2024/10/24 - 05:49:13 | 2024102405491325444391663107591 | user 1 has enough quota 500000000000000, trusted and no need to pre-consume 
[GIN] 2024/10/24 - 05:49:14 | 2024102405491325444391663107591 | 200 |  1.548853482s |      172.18.0.7 |    POST /v1/chat/completions
[INFO] 2024/10/24 - 05:49:14 | 2024102405491325444391663107591 | record consume log: userId=1, channelId=1, promptTokens=6, completionTokens=28, modelName=glm-4-plus, tokenName=MyModel, quota=1020, content=模型倍率 30.00，分组倍率 1.00，补全倍率 1.00 
[SYS] 2024/10/24 - 05:49:15 | batch update started 
[SYS] 2024/10/24 - 05:49:15 | batch update finished 
[SYS] 2024/10/24 - 05:49:25 | batch update started 
[SYS] 2024/10/24 - 05:49:25 | batch update finished 
[SYS] 2024/10/24 - 05:49:35 | batch update started 
[SYS] 2024/10/24 - 05:49:35 | batch update finished 
[SYS] 2024/10/24 - 05:49:45 | batch update started 
[SYS] 2024/10/24 - 05:49:45 | batch update finished 
[SYS] 2024/10/24 - 05:49:55 | batch update started 
[SYS] 2024/10/24 - 05:49:55 | batch update finished 
[SYS] 2024/10/24 - 05:50:05 | batch update started 
[SYS] 2024/10/24 - 05:50:05 | batch update finished 
[SYS] 2024/10/24 - 05:50:15 | batch update started 
[SYS] 2024/10/24 - 05:50:15 | batch update finished 
[SYS] 2024/10/24 - 05:50:25 | batch update started 
[SYS] 2024/10/24 - 05:50:25 | batch update finished 
[SYS] 2024/10/24 - 05:50:35 | batch update started 
[SYS] 2024/10/24 - 05:50:35 | batch update finished 
[SYS] 2024/10/24 - 05:50:45 | batch update started 
[SYS] 2024/10/24 - 05:50:45 | batch update finished 
[SYS] 2024/10/24 - 05:50:55 | batch update started 
[SYS] 2024/10/24 - 05:50:55 | batch update finished 
[SYS] 2024/10/24 - 05:51:05 | batch update started 
[SYS] 2024/10/24 - 05:51:05 | batch update finished 
[SYS] 2024/10/24 - 05:51:15 | batch update started 
[SYS] 2024/10/24 - 05:51:15 | batch update finished 
[SYS] 2024/10/24 - 05:51:25 | batch update started 
[SYS] 2024/10/24 - 05:51:25 | batch update finished 
[SYS] 2024/10/24 - 05:51:35 | batch update started 
[SYS] 2024/10/24 - 05:51:35 | batch update finished 
[SYS] 2024/10/24 - 05:51:45 | batch update started 
[SYS] 2024/10/24 - 05:51:45 | batch update finished 
[SYS] 2024/10/24 - 05:51:55 | batch update started 
[SYS] 2024/10/24 - 05:51:55 | batch update finished 
[SYS] 2024/10/24 - 05:52:05 | batch update started 
[SYS] 2024/10/24 - 05:52:05 | batch update finished 
[SYS] 2024/10/24 - 05:52:15 | batch update started 
[SYS] 2024/10/24 - 05:52:15 | batch update finished 
[SYS] 2024/10/24 - 05:52:25 | batch update started 
[SYS] 2024/10/24 - 05:52:25 | batch update finished 
[SYS] 2024/10/24 - 05:52:35 | batch update started 
[SYS] 2024/10/24 - 05:52:35 | batch update finished 
[SYS] 2024/10/24 - 05:52:45 | batch update started 
[SYS] 2024/10/24 - 05:52:45 | batch update finished 
[SYS] 2024/10/24 - 05:52:55 | batch update started 
[SYS] 2024/10/24 - 05:52:55 | batch update finished 
[SYS] 2024/10/24 - 05:53:05 | batch update started 
[SYS] 2024/10/24 - 05:53:05 | batch update finished 
[SYS] 2024/10/24 - 05:53:15 | batch update started 
[SYS] 2024/10/24 - 05:53:15 | batch update finished 
[SYS] 2024/10/24 - 05:53:25 | batch update started 
[SYS] 2024/10/24 - 05:53:25 | batch update finished 
[SYS] 2024/10/24 - 05:53:35 | batch update started 
[SYS] 2024/10/24 - 05:53:35 | batch update finished 
[SYS] 2024/10/24 - 05:53:45 | batch update started 
[SYS] 2024/10/24 - 05:53:45 | batch update finished 
[SYS] 2024/10/24 - 05:53:55 | batch update started 
[SYS] 2024/10/24 - 05:53:55 | batch update finished 
[SYS] 2024/10/24 - 05:54:05 | batch update started 
[SYS] 2024/10/24 - 05:54:05 | batch update finished 
[SYS] 2024/10/24 - 05:54:16 | batch update started 
[SYS] 2024/10/24 - 05:54:16 | batch update finished 
[SYS] 2024/10/24 - 05:54:26 | batch update started 
[SYS] 2024/10/24 - 05:54:26 | batch update finished 
[SYS] 2024/10/24 - 05:54:36 | batch update started 
[SYS] 2024/10/24 - 05:54:36 | batch update finished 
[SYS] 2024/10/24 - 05:54:46 | batch update started 
[SYS] 2024/10/24 - 05:54:46 | batch update finished 
[SYS] 2024/10/24 - 05:54:56 | batch update started 
[SYS] 2024/10/24 - 05:54:56 | batch update finished 
[SYS] 2024/10/24 - 05:55:06 | batch update started 
[SYS] 2024/10/24 - 05:55:06 | batch update finished 
[SYS] 2024/10/24 - 05:55:16 | batch update started 
[SYS] 2024/10/24 - 05:55:16 | batch update finished 
[SYS] 2024/10/24 - 05:55:26 | batch update started 
[SYS] 2024/10/24 - 05:55:26 | batch update finished 
[SYS] 2024/10/24 - 05:55:36 | batch update started 
[SYS] 2024/10/24 - 05:55:36 | batch update finished 
[SYS] 2024/10/24 - 05:55:46 | batch update started 
[SYS] 2024/10/24 - 05:55:46 | batch update finished 
[SYS] 2024/10/24 - 05:55:56 | batch update started 
[SYS] 2024/10/24 - 05:55:56 | batch update finished 
[SYS] 2024/10/24 - 05:56:06 | batch update started 
[SYS] 2024/10/24 - 05:56:06 | batch update finished 
[SYS] 2024/10/24 - 05:56:16 | batch update started 
[SYS] 2024/10/24 - 05:56:16 | batch update finished 
[SYS] 2024/10/24 - 05:56:26 | batch update started 
[SYS] 2024/10/24 - 05:56:26 | batch update finished 
[SYS] 2024/10/24 - 05:56:36 | batch update started 
[SYS] 2024/10/24 - 05:56:36 | batch update finished 
[SYS] 2024/10/24 - 05:56:46 | batch update started 
[SYS] 2024/10/24 - 05:56:46 | batch update finished 
[SYS] 2024/10/24 - 05:56:56 | batch update started 
[SYS] 2024/10/24 - 05:56:56 | batch update finished 
[SYS] 2024/10/24 - 05:57:06 | batch update started 
[SYS] 2024/10/24 - 05:57:06 | batch update finished 
[SYS] 2024/10/24 - 05:57:16 | batch update started 
[SYS] 2024/10/24 - 05:57:16 | batch update finished 
[SYS] 2024/10/24 - 05:57:26 | batch update started 
[SYS] 2024/10/24 - 05:57:26 | batch update finished 
[SYS] 2024/10/24 - 05:57:36 | batch update started 
[SYS] 2024/10/24 - 05:57:36 | batch update finished 
[SYS] 2024/10/24 - 05:57:46 | batch update started 
[SYS] 2024/10/24 - 05:57:46 | batch update finished 
[SYS] 2024/10/24 - 05:57:56 | batch update started 
[SYS] 2024/10/24 - 05:57:56 | batch update finished 
[SYS] 2024/10/24 - 05:58:06 | batch update started 
[SYS] 2024/10/24 - 05:58:06 | batch update finished 
[SYS] 2024/10/24 - 05:58:15 | syncing channels from database 
[SYS] 2024/10/24 - 05:58:15 | syncing options from database 
[SYS] 2024/10/24 - 05:58:15 | channels synced from database 
[SYS] 2024/10/24 - 05:58:16 | batch update started 
[SYS] 2024/10/24 - 05:58:16 | batch update finished 
[SYS] 2024/10/24 - 05:58:26 | batch update started 
[SYS] 2024/10/24 - 05:58:26 | batch update finished 
[SYS] 2024/10/24 - 05:58:36 | batch update started 
[SYS] 2024/10/24 - 05:58:36 | batch update finished 
[SYS] 2024/10/24 - 05:58:46 | batch update started 
[SYS] 2024/10/24 - 05:58:46 | batch update finished 
[SYS] 2024/10/24 - 05:58:56 | batch update started 
[SYS] 2024/10/24 - 05:58:56 | batch update finished 
[SYS] 2024/10/24 - 05:59:06 | batch update started 
[SYS] 2024/10/24 - 05:59:06 | batch update finished 
[SYS] 2024/10/24 - 05:59:16 | batch update started 
[SYS] 2024/10/24 - 05:59:16 | batch update finished 
[SYS] 2024/10/24 - 05:59:26 | batch update started 
[SYS] 2024/10/24 - 05:59:26 | batch update finished 
[SYS] 2024/10/24 - 05:59:36 | batch update started 
[SYS] 2024/10/24 - 05:59:36 | batch update finished 
[SYS] 2024/10/24 - 05:59:46 | batch update started 
[SYS] 2024/10/24 - 05:59:46 | batch update finished 
[SYS] 2024/10/24 - 05:59:56 | batch update started 
[SYS] 2024/10/24 - 05:59:56 | batch update finished 
[SYS] 2024/10/24 - 06:00:06 | batch update started 
[SYS] 2024/10/24 - 06:00:06 | batch update finished 
[SYS] 2024/10/24 - 06:00:16 | batch update started 
[SYS] 2024/10/24 - 06:00:16 | batch update finished 
[SYS] 2024/10/24 - 06:00:26 | batch update started 
[SYS] 2024/10/24 - 06:00:26 | batch update finished 
[SYS] 2024/10/24 - 06:00:36 | batch update started 
[SYS] 2024/10/24 - 06:00:36 | batch update finished 
[SYS] 2024/10/24 - 06:00:46 | batch update started 
[SYS] 2024/10/24 - 06:00:46 | batch update finished 
[SYS] 2024/10/24 - 06:00:56 | batch update started 
[SYS] 2024/10/24 - 06:00:56 | batch update finished 
[SYS] 2024/10/24 - 06:01:06 | batch update started 
[SYS] 2024/10/24 - 06:01:06 | batch update finished 
[SYS] 2024/10/24 - 06:01:16 | batch update started 
[SYS] 2024/10/24 - 06:01:16 | batch update finished 
[SYS] 2024/10/24 - 06:01:26 | batch update started 
[SYS] 2024/10/24 - 06:01:26 | batch update finished 
[SYS] 2024/10/24 - 06:01:36 | batch update started 
[SYS] 2024/10/24 - 06:01:36 | batch update finished 
[SYS] 2024/10/24 - 06:01:46 | batch update started 
[SYS] 2024/10/24 - 06:01:46 | batch update finished 
[SYS] 2024/10/24 - 06:01:56 | batch update started 
[SYS] 2024/10/24 - 06:01:56 | batch update finished 
[SYS] 2024/10/24 - 06:02:06 | batch update started 
[SYS] 2024/10/24 - 06:02:06 | batch update finished 
[SYS] 2024/10/24 - 06:02:16 | batch update started 
[SYS] 2024/10/24 - 06:02:16 | batch update finished 
[SYS] 2024/10/24 - 06:02:26 | batch update started 
[SYS] 2024/10/24 - 06:02:26 | batch update finished 
[SYS] 2024/10/24 - 06:02:36 | batch update started 
[SYS] 2024/10/24 - 06:02:36 | batch update finished 
[SYS] 2024/10/24 - 06:02:46 | batch update started 
[SYS] 2024/10/24 - 06:02:46 | batch update finished 
[SYS] 2024/10/24 - 06:02:56 | batch update started 
[SYS] 2024/10/24 - 06:02:56 | batch update finished 
[SYS] 2024/10/24 - 06:03:06 | batch update started 
[SYS] 2024/10/24 - 06:03:06 | batch update finished 
[SYS] 2024/10/24 - 06:03:16 | batch update started 
[SYS] 2024/10/24 - 06:03:16 | batch update finished 
[SYS] 2024/10/24 - 06:03:26 | batch update started 
[SYS] 2024/10/24 - 06:03:26 | batch update finished 
[SYS] 2024/10/24 - 06:03:36 | batch update started 
[SYS] 2024/10/24 - 06:03:36 | batch update finished 
[SYS] 2024/10/24 - 06:03:46 | batch update started 
[SYS] 2024/10/24 - 06:03:46 | batch update finished 
[SYS] 2024/10/24 - 06:03:56 | batch update started 
[SYS] 2024/10/24 - 06:03:56 | batch update finished 
[SYS] 2024/10/24 - 06:04:06 | batch update started 
[SYS] 2024/10/24 - 06:04:06 | batch update finished 
[SYS] 2024/10/24 - 06:04:16 | batch update started 
[SYS] 2024/10/24 - 06:04:16 | batch update finished 
[SYS] 2024/10/24 - 06:04:26 | batch update started 
[SYS] 2024/10/24 - 06:04:26 | batch update finished 
[SYS] 2024/10/24 - 06:04:36 | batch update started 
[SYS] 2024/10/24 - 06:04:36 | batch update finished 
[SYS] 2024/10/24 - 06:04:46 | batch update started 
[SYS] 2024/10/24 - 06:04:46 | batch update finished 
[SYS] 2024/10/24 - 06:04:56 | batch update started 
[SYS] 2024/10/24 - 06:04:56 | batch update finished 
[SYS] 2024/10/24 - 06:05:06 | batch update started 
[SYS] 2024/10/24 - 06:05:06 | batch update finished 
[SYS] 2024/10/24 - 06:05:16 | batch update started 
[SYS] 2024/10/24 - 06:05:16 | batch update finished 
[SYS] 2024/10/24 - 06:05:26 | batch update started 
[SYS] 2024/10/24 - 06:05:26 | batch update finished 
[SYS] 2024/10/24 - 06:05:36 | batch update started 
[SYS] 2024/10/24 - 06:05:36 | batch update finished 
[SYS] 2024/10/24 - 06:07:19 | batch update started 
[SYS] 2024/10/24 - 06:07:19 | batch update finished 
[SYS] 2024/10/24 - 06:07:30 | batch update started 
[SYS] 2024/10/24 - 06:07:30 | batch update finished 
[SYS] 2024/10/24 - 06:07:40 | batch update started 
[SYS] 2024/10/24 - 06:07:40 | batch update finished 
[SYS] 2024/10/24 - 06:07:50 | batch update started 
[SYS] 2024/10/24 - 06:07:50 | batch update finished 
[SYS] 2024/10/24 - 06:08:00 | batch update started 
[SYS] 2024/10/24 - 06:08:00 | batch update finished 
[SYS] 2024/10/24 - 06:08:10 | batch update started 
[SYS] 2024/10/24 - 06:08:10 | batch update finished 
[SYS] 2024/10/24 - 06:08:15 | syncing channels from database 
[SYS] 2024/10/24 - 06:08:15 | syncing options from database 
[SYS] 2024/10/24 - 06:08:15 | channels synced from database 
[SYS] 2024/10/24 - 06:08:20 | batch update started 
[SYS] 2024/10/24 - 06:08:20 | batch update finished 
[SYS] 2024/10/24 - 06:08:30 | batch update started 
[SYS] 2024/10/24 - 06:08:30 | batch update finished 
[SYS] 2024/10/24 - 06:08:40 | batch update started 
[SYS] 2024/10/24 - 06:08:40 | batch update finished 
[SYS] 2024/10/24 - 06:08:50 | batch update started 
[SYS] 2024/10/24 - 06:08:50 | batch update finished 
[SYS] 2024/10/24 - 06:09:00 | batch update started 
[SYS] 2024/10/24 - 06:09:00 | batch update finished 
[SYS] 2024/10/24 - 06:09:10 | batch update started 
[SYS] 2024/10/24 - 06:09:10 | batch update finished 
[SYS] 2024/10/24 - 06:09:20 | batch update started 
[SYS] 2024/10/24 - 06:09:20 | batch update finished 
[SYS] 2024/10/24 - 06:09:30 | batch update started 
[SYS] 2024/10/24 - 06:09:30 | batch update finished 
[SYS] 2024/10/24 - 06:09:40 | batch update started 
[SYS] 2024/10/24 - 06:09:40 | batch update finished 
[SYS] 2024/10/24 - 06:09:50 | batch update started 
[SYS] 2024/10/24 - 06:09:50 | batch update finished 
[SYS] 2024/10/24 - 06:10:00 | batch update started 
[SYS] 2024/10/24 - 06:10:00 | batch update finished 
[SYS] 2024/10/24 - 06:10:10 | batch update started 
[SYS] 2024/10/24 - 06:10:10 | batch update finished 
[SYS] 2024/10/24 - 06:10:20 | batch update started 
[SYS] 2024/10/24 - 06:10:20 | batch update finished 
[SYS] 2024/10/24 - 06:10:30 | batch update started 
[SYS] 2024/10/24 - 06:10:30 | batch update finished 
[SYS] 2024/10/24 - 06:10:40 | batch update started 
[SYS] 2024/10/24 - 06:10:40 | batch update finished 
[SYS] 2024/10/24 - 06:10:50 | batch update started 
[SYS] 2024/10/24 - 06:10:50 | batch update finished 
[SYS] 2024/10/24 - 06:11:00 | batch update started 
[SYS] 2024/10/24 - 06:11:00 | batch update finished 
[SYS] 2024/10/24 - 06:11:10 | batch update started 
[SYS] 2024/10/24 - 06:11:10 | batch update finished 
[SYS] 2024/10/24 - 06:11:20 | batch update started 
[SYS] 2024/10/24 - 06:11:20 | batch update finished 
[SYS] 2024/10/24 - 06:11:30 | batch update started 
[SYS] 2024/10/24 - 06:11:30 | batch update finished 
[SYS] 2024/10/24 - 06:11:40 | batch update started 
[SYS] 2024/10/24 - 06:11:40 | batch update finished 
[SYS] 2024/10/24 - 06:11:50 | batch update started 
[SYS] 2024/10/24 - 06:11:50 | batch update finished 
[SYS] 2024/10/24 - 06:12:00 | batch update started 
[SYS] 2024/10/24 - 06:12:00 | batch update finished 
[SYS] 2024/10/24 - 06:12:10 | batch update started 
[SYS] 2024/10/24 - 06:12:10 | batch update finished 
[SYS] 2024/10/24 - 06:12:20 | batch update started 
[SYS] 2024/10/24 - 06:12:20 | batch update finished 
[SYS] 2024/10/24 - 06:12:30 | batch update started 
[SYS] 2024/10/24 - 06:12:30 | batch update finished 
[SYS] 2024/10/24 - 06:12:40 | batch update started 
[SYS] 2024/10/24 - 06:12:40 | batch update finished 
[SYS] 2024/10/24 - 06:12:50 | batch update started 
[SYS] 2024/10/24 - 06:12:50 | batch update finished 
[SYS] 2024/10/24 - 06:13:00 | batch update started 
[SYS] 2024/10/24 - 06:13:00 | batch update finished 
[SYS] 2024/10/24 - 06:13:10 | batch update started 
[SYS] 2024/10/24 - 06:13:10 | batch update finished 
[SYS] 2024/10/24 - 06:13:20 | batch update started 
[SYS] 2024/10/24 - 06:13:20 | batch update finished 
[SYS] 2024/10/24 - 06:13:30 | batch update started 
[SYS] 2024/10/24 - 06:13:30 | batch update finished 
[SYS] 2024/10/24 - 06:13:40 | batch update started 
[SYS] 2024/10/24 - 06:13:40 | batch update finished 
[SYS] 2024/10/24 - 06:13:50 | batch update started 
[SYS] 2024/10/24 - 06:13:50 | batch update finished 
[SYS] 2024/10/24 - 06:14:00 | batch update started 
[SYS] 2024/10/24 - 06:14:00 | batch update finished 
[SYS] 2024/10/24 - 06:14:10 | batch update started 
[SYS] 2024/10/24 - 06:14:10 | batch update finished 
[SYS] 2024/10/24 - 06:14:20 | batch update started 
[SYS] 2024/10/24 - 06:14:20 | batch update finished 
[SYS] 2024/10/24 - 06:14:30 | batch update started 
[SYS] 2024/10/24 - 06:14:30 | batch update finished 
[SYS] 2024/10/24 - 06:14:40 | batch update started 
[SYS] 2024/10/24 - 06:14:40 | batch update finished 
[SYS] 2024/10/24 - 06:14:50 | batch update started 
[SYS] 2024/10/24 - 06:14:50 | batch update finished 
[SYS] 2024/10/24 - 06:15:00 | batch update started 
[SYS] 2024/10/24 - 06:15:00 | batch update finished 
[SYS] 2024/10/24 - 06:15:10 | batch update started 
[SYS] 2024/10/24 - 06:15:10 | batch update finished 
[SYS] 2024/10/24 - 06:15:20 | batch update started 
[SYS] 2024/10/24 - 06:15:20 | batch update finished 
